	C12D01	C16D02	C13D09	C09D05	C18D04	C02D02	C12D02	C05D01	C06D03	C04D02	Mock	C18D06	C14D01	C15D02	C13D07	C02D01	C10D03	C10D01	C03D02	C14D03	C14D02	C08D03	C09D06	C09D04	C15D01	C16D03	C05D02	C16D01	C02D03	C07D02	C07D03	C06D01	C04D03	C08D02	C11D01	C10D02	C12D03	C11D03	C04D01	C18D05	C11D02	C07D01	C01D03	C17D02	C13D08	C17D01	C15D03	C01D01	C01D02	C05D03	C06D02	C17D03	C08D01	C03D01	C03D03
Mock	3.7535203166	3.16225429208	5.34102946208	3.2519184783	2.13705425943	2.46154515717	3.78457618472	2.52620168321	3.18036856283	2.77257834717	0.0	2.1598397483	4.59519236189	4.05938273434	3.88527038472	2.33681097925	3.81395367528	3.82163602906	2.6086008917	4.46869925208	4.69271619189	2.37484046623	3.29481809604	3.13716911679	3.93084670736	3.31179832113	2.61597762717	3.02570455717	2.41320125509	3.19959812057	3.07700975226	3.12687033623	2.7371971366	2.30755181755	2.97348851	3.52567714283	3.59056875019	3.03627897189	2.74621283	2.25173328679	3.18746677434	3.05755613962	2.49118956302	2.24350231792	5.49767309057	2.15843562981	3.68821497321	2.42625306566	2.52031514604	2.73206073075	3.24949785396	2.27347063792	2.30848213642	2.50269529189	2.65648315283
C18D06	2.57831337962	1.52432697472	4.10469609226	2.23792831302	0.106424203208	0.735014330755	2.52591638811	0.707268571509	1.49650340547	0.967701632075	2.1598397483	0.0	3.43300198226	2.84280719208	2.58181957415	0.705696784151	2.77033782094	2.78844469094	0.770615519245	3.18053480528	3.45532124283	0.831824794151	2.20520302623	2.02155118434	2.70228266321	1.68617053358	0.81048200717	1.37653443415	0.612040033585	1.52351118811	1.41241382811	1.44974459811	0.90761043283	0.765671633774	1.25075848698	2.52406579113	2.52570082943	1.31099512208	0.934834703585	0.500816129434	1.44632153925	1.39289185849	0.794218867925	0.58147368434	4.2628248566	0.677561413208	2.45850252189	0.751823200755	0.863718133208	0.877864630377	1.57261559434	0.656340481698	0.732936657547	0.68537512434	0.808067871698
C14D01	1.06672275094	2.25169837774	1.30675036623	2.34888828321	3.45004748811	2.97002025038	1.18889169528	2.9164064583	2.27432112057	2.80678175245	4.59519236189	3.43300198226	0.0	0.793370698113	1.25911326849	3.06654715623	1.2762634017	1.44328329925	2.85588724717	0.298852395472	0.181753176415	3.16629427264	2.10346335642	2.21381917528	0.862136061321	2.06480584679	2.80452483208	2.37566340887	3.08578073962	2.12366407189	2.24477307981	2.33168088226	2.85353077925	3.22112732358	2.5884041734	1.78202724094	1.45897679321	2.50912366019	2.80574238547	3.19987150189	2.38975402226	2.28090208113	2.95018559623	3.64006148623	1.47507515321	3.74050692943	1.10994549283	3.03161669774	2.89332620151	2.75945843	2.21922319245	3.72089798547	3.2771299983	2.97448748208	2.84329766113
C15D02	0.623084120755	1.68146504792	1.82803444472	1.87342862698	2.85363976547	2.38597992925	0.553723287736	2.33013222623	1.63239042547	2.20789396642	4.05938273434	2.84280719208	0.793370698113	0.0	0.697555590377	2.48067734113	0.872423437925	1.02043029585	2.26910475849	0.652357829057	0.80339495	2.58418054547	1.62159157264	1.74179866547	0.254192885094	1.50558692642	2.22232543283	1.79856884132	2.50461478868	1.53428267453	1.64885346887	1.69258804226	2.25310197472	2.64833192774	1.99617636396	1.37217957264	0.962144781887	1.91739540434	2.20354164358	2.62075554642	1.80405976604	1.69239811434	2.37151381736	3.0680571617	1.99253261434	3.15350175019	0.489806808679	2.45215436642	2.31294696755	2.17971355981	1.57588321774	3.13902073604	2.69158098585	2.39174206057	2.25697115774
C13D07	0.942391136038	1.52524375604	1.75042627623	1.89177744981	2.58561333547	2.00747022679	0.921274169057	2.02343353472	1.50199181698	2.04828019189	3.88527038472	2.58181957415	1.25911326849	0.697555590377	0.0	2.08472482925	1.12558254755	1.29703638321	1.97695815075	1.02769345264	1.31710492302	2.17961985283	1.64456568642	1.68034489925	0.611701522642	1.33729200472	1.8923394866	1.62603336038	2.19935065377	1.37018507321	1.5224234283	1.55618226208	2.07953589491	2.22495706226	1.80705160113	1.59293799057	1.31481643038	1.73184749434	2.02577166453	2.22905195566	1.63364784698	1.55112068962	1.98079290698	2.7091663434	1.90564600472	2.82232071226	0.711284508491	2.05986839868	1.92123060321	1.93979783509	1.4479855217	2.82414053208	2.29237604453	2.07524695811	2.0024704417
C02D01	2.24866904755	1.33998427736	3.77852041717	1.81441180132	0.705345982075	0.248754451887	2.19861873755	0.491087344717	1.26971056811	0.854179063774	2.33681097925	0.705696784151	3.06654715623	2.48067734113	2.08472482925	0.0	2.42050326132	2.44241148491	0.596348180377	2.82188839509	3.10413148434	0.454625519434	1.7935418466	1.57998861679	2.3638071666	1.49413906264	0.569866398491	1.18198925943	0.289187659623	1.28516641717	1.1739511817	1.20848489585	0.806736330189	0.493378731132	1.0276817734	2.16005140057	2.17620736943	1.09216979038	0.810599911132	0.317887386792	1.23797626302	1.14831245962	0.377684752075	0.923495326226	3.94061433472	1.0249891083	2.0683793083	0.317002070943	0.422548559623	0.750677721321	1.33035504226	1.02351930321	0.557686543962	0.474393493019	0.67400667283
C10D03	0.378571261321	1.59162817528	2.46931437358	1.36841509509	2.78165373019	2.32285690302	0.527930825283	2.24623205245	1.61892988151	2.14281444208	3.81395367528	2.77033782094	1.2762634017	0.872423437925	1.12558254755	2.42050326132	0.0	0.20612952283	2.19527589717	1.29603801717	1.39818412113	2.51701520264	1.12106585321	1.24902578943	0.695594062264	1.40693146736	2.1377553183	1.71530544264	2.43619687377	1.45495957925	1.57514106377	1.67955608094	2.18927559038	2.57407285057	1.92954431509	0.560788201132	0.411865231509	1.84747952642	2.14053026943	2.55208654132	1.73020925264	1.61540602245	2.3096700666	3.00463531736	2.63646992887	3.11408225415	0.576285633019	2.39246412245	2.25047087868	2.09769705698	1.57038633604	3.09175667094	2.63248771434	2.30658752189	2.18951204585
C10D01	0.538935632075	1.60938965849	2.61226347415	1.2674493134	2.80158299075	2.34688121415	0.653117041321	2.26491990585	1.62005670547	2.1447299117	3.82163602906	2.78844469094	1.44328329925	1.02043029585	1.29703638321	2.44241148491	0.20612952283	0.0	2.2183695634	1.4675189883	1.54716570321	2.53223384321	1.08518016472	1.22683348585	0.861622101698	1.42748617509	2.15959692717	1.73667987528	2.45949900491	1.4640675534	1.57796915566	1.68410967849	2.18951348868	2.59166278887	1.93053952208	0.429496446981	0.401242892075	1.85048093075	2.14254901	2.56985349623	1.73112338755	1.62117734642	2.33278809585	3.02383313679	2.77749234453	3.12580590226	0.74646283434	2.41067304906	2.27360200566	2.11418849868	1.56989639547	3.10462070736	2.64505585642	2.32983237792	2.20759600226
C03D02	1.9946135283	0.95333476717	3.53169101226	1.69856880321	0.794859245094	0.445022646981	1.94750448208	0.288499305094	0.941796314906	0.446322151698	2.6086008917	0.770615519245	2.85588724717	2.26910475849	1.97695815075	0.596348180377	2.19527589717	2.2183695634	0.0	2.60137081509	2.88674517491	0.699461588113	1.66769697755	1.47127581453	2.12838074094	1.11846262415	0.220656446415	0.813265108868	0.529846876226	0.936118600189	0.821926127736	0.886869606415	0.388472916604	0.742909320566	0.708681582075	1.95083807075	1.95171531396	0.757743253774	0.421223363585	0.640284031321	0.885673094717	0.796336856981	0.408212415849	1.04731193264	3.69492519094	1.16194743283	1.8746766434	0.514451600755	0.378856893585	0.332013882075	1.01441004566	1.1366261383	0.787335040566	0.208324727736	0.14444502717
C14D03	1.08278316113	2.0013611917	1.32474130358	2.30848148585	3.19493194283	2.71645326057	1.04264933642	2.66323202623	2.02761792283	2.56166516113	4.46869925208	3.18053480528	0.298852395472	0.652357829057	1.02769345264	2.82188839509	1.29603801717	1.4675189883	2.60137081509	0.0	0.318630967358	2.93855077302	2.06422389717	2.14874505377	0.75809810434	1.81459173774	2.54908283283	2.11843847038	2.83083848113	1.88474061981	2.0075897417	2.08363188491	2.60661500038	2.99116397151	2.34442875755	1.79367267453	1.48732697472	2.26100306358	2.56003379868	2.95356492	2.13906734075	2.04142819623	2.69956348943	3.39128843717	1.49815688792	3.50151769887	0.972830725283	2.78560061434	2.64297730113	2.50799891642	1.97359867283	3.47256717566	3.04714372811	2.71916393302	2.59015675321
C14D02	1.18712715453	2.25561932472	1.20508497509	2.47587970075	3.47166743094	3.00387151887	1.17881606377	2.94827743057	2.26193634755	2.80038994208	4.69271619189	3.45532124283	0.181753176415	0.80339495	1.31710492302	3.10413148434	1.39818412113	1.54716570321	2.88674517491	0.318630967358	0.0	3.20794029736	2.2246240917	2.34934789321	0.901860021509	2.07515435604	2.8386571017	2.3847437	3.10910900509	2.13311828415	2.25395768075	2.3239342417	2.84705288283	3.26741354981	2.58097784491	1.90596422528	1.57007081151	2.49831374755	2.80245186491	3.23523286925	2.37632369377	2.29281389415	2.98772356094	3.66532215358	1.37066867755	3.76198731038	1.18897156774	3.07124239566	2.93270610698	2.78059273019	2.20831955151	3.7327960117	3.31467176679	3.00596421547	2.8692292783
C08D03	2.35438540019	1.33318898736	3.75903621585	1.92118104189	0.83287398717	0.579684303774	2.31368742528	0.65130649283	1.36203952717	0.908126728491	2.37484046623	0.831824794151	3.16629427264	2.58418054547	2.17961985283	0.454625519434	2.51701520264	2.53223384321	0.699461588113	2.93855077302	3.20794029736	0.0	1.90847419698	1.70214733547	2.47988461887	1.4868681983	0.730559836415	1.18975625623	0.532568303208	1.37696677585	1.26751415962	1.31696373528	0.853858428868	0.16101435434	1.10242177132	2.25570520075	2.28669767	1.15138653849	0.876486099623	0.558446176415	1.29218724283	1.24989221377	0.573997833774	0.798324070566	3.90762929566	0.866978655283	2.18870054396	0.52791487566	0.63054300283	0.854437623774	1.43400232472	0.894069427547	0.19343965283	0.582126558868	0.735895752264
